t=2026-03-20T17:15:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-03-20T17:15:20+0530 lvl=info msg="using configuration at default config path" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-20T17:15:20+0530 lvl=info msg="open config file" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-20T17:15:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-20T17:15:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-20T17:15:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://radiosensitive-reed-contrate.ngrok-free.dev
t=2026-03-20T17:15:57+0530 lvl=warn msg="failed to open private leg" id=c125fa97f32f privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:16:20+0530 lvl=warn msg="failed to open private leg" id=8eb009f02bf9 privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=4cdf7f6f70e4 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=f8704692a098 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=65cad3490f1e l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=93699b451e87 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=7ccbcea86e4d l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=f65ba1f4e782 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=e45ec766bf53 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=4422932ac0b8 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=e7f9eae268cb l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=c7ed6b22b39c l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=42de6cb98c08 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:36+0530 lvl=info msg="join connections" obj=join id=ed7b7da5a7e6 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=aad612eb30fa l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=acc9a49e70de l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=0910363f6c27 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=8d497ccd1ecc l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=cfeeb1576efa l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=6da8c878216f l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:32:39+0530 lvl=info msg="join connections" obj=join id=71ee02bd6a24 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:37:39+0530 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2026-03-20T17:37:39+0530 lvl=info msg="session closing" obj=tunnels.session err=nil
t=2026-03-20T17:37:39+0530 lvl=info msg="accept failed" obj=tunnels.session obj=csess id=db2bbb4193cf err="reconnecting session closed"
